EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
GVS-TAC22,"GigaVUE-TA200 node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, DC power; 32 ports enabled"," $51,885.00 ",  ,,Taps and Aggregators,GigaVUE-TA200,Taiwan,,,,,TRUE
GVS-TAC22-HW,"GigaVUE-TA200 node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, DC power;  Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $11,300.00 ",  ,,Taps and Aggregators,GigaVUE-TA200,Taiwan,,,,,TRUE
GVS-TAC22-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA200; 32 ports enabled (GVS-TAC22-HW). Includes Bundled Elite-Plus Software Support.  (EOS Feb 28, 2023)",  ," $1,405.00 ",,Taps and Aggregators,GigaVUE-TA200,United States,,2/28/2023,,GVS-TAC20-SW-TM,TRUE
GVS-TAC22E,"GigaVUE-TA200E node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, DC power; 32 ports enabled"," $51,885.00 ",  ,,Taps and Aggregators,GigaVUE-TA200E,Taiwan,,,,,TRUE
GVS-TAC22E-HW,"GigaVUE-TA200E node, 64 100G QSFP28 cages, 2 power supplies, 4 fan trays, DC power;  Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $11,300.00 ",  ,,Taps and Aggregators,GigaVUE-TA200E,Taiwan,,,,,TRUE
GVS-TAC40-SW-TM,"Monthly GigaVUE-OS term license for GigaVUE-TA400 (GVS-TAC[41/42]-HW). Includes Bundled Elite-Plus Software Support. (EOS Jul 7, 2025)",  ," $3,740.00 ",,Taps and Aggregators,GigaVUE-TA400,United States,,7/7/2025,12/7/2030,GVS-TAC40E-SW-TM,TRUE
GVS-TAC40E-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA400E; 32 400G & 2 1/10G ports enabled (GVS-TAC[41E/42E]-HW). Includes Bundled Elite-Plus Software Support.,  ," $3,745.00 ",,Taps and Aggregators,GigaVUE-TA400E,United States,,,,,TRUE
GVS-TAC40EA-SW-TM,Monthly GigaVUE-OS term license for GigaVUE-TA400E; 32 100G & 2 1/10G ports enabled (GVS-TAC[41E/42E]-HW). Includes Bundled Elite-Plus Software Support.,  ," $1,975.00 ",,Taps and Aggregators,GigaVUE-TA400E,United States,,,,,TRUE
GVS-TAC41,"GigaVUE-TA400 node, 32 400G QSFP-DD cages, 2 power supplies, 7 fan trays, AC power; all ports enabled (EOS Jul 7, 2025)"," $114,960.00 ",  ,,Taps and Aggregators,GigaVUE-TA400,Taiwan,,7/7/2025,12/7/2030,GVS-TAC41E,TRUE
GVS-TAC41-HW,"GigaVUE-TA400 node, 32 400G QSFP-DD cages, 2 power supplies, 7 fan trays, AC power; all ports enabled. Hardware only. Must Pair with appropriate GigaVUE-OS Software License (EOS Jul 7, 2025)"," $14,245.00 ",  ,,Taps and Aggregators,GigaVUE-TA400,Taiwan,,7/7/2025,12/7/2030,GVS-TAC41E-HW,TRUE
GVS-TAC41E,"GigaVUE-TA400E node, 32 400G QSFP-DD cages & 2 1/10G SFP+ cages, 2 power supplies, 6 fan trays, AC power; 32 400G & 2 1/10G ports enabled."," $114,960.00 ",  ,,Taps and Aggregators,GigaVUE-TA400E,Taiwan,,,,,TRUE
GVS-TAC41E-HW,"GigaVUE-TA400E node, 32 400G QSFP-DD cages & 2 1/10G SFP+ cages, 2 power supplies, 6 fan trays, AC power; Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $14,245.00 ",  ,,Taps and Aggregators,GigaVUE-TA400E,Taiwan,,,,,TRUE
GVS-TAC41EA,"GigaVUE-TA400E node, 32 400G QSFP-DD cages & 2 1/10G SFP+ cages, 2 power supplies, 6 fan trays, AC power; 32 100G & 2 1/10G ports enabled."," $63,000.00 ",  ,,Taps and Aggregators,GigaVUE-TA400E,Taiwan,,,,,TRUE
GVS-TAC42,"GigaVUE-TA400 node, 32 400G QSFP-DD cages, 2 power supplies, 7 fan trays, DC power; all ports enabled (EOS Jul 7, 2025)"," $116,225.00 ",  ,,Taps and Aggregators,GigaVUE-TA400,Taiwan,,7/7/2025,12/7/2030,GVS-TAC42E,TRUE
GVS-TAC42-HW,"GigaVUE-TA400 node, 32 400G QSFP-DD cages, 2 power supplies, 7 fan trays, DC power; all ports enabled. Hardware only. Must Pair with appropriate GigaVUE-OS Software License (EOS Jul 7, 2025)"," $14,355.00 ",  ,,Taps and Aggregators,GigaVUE-TA400,Taiwan,,7/7/2025,12/7/2030,GVS-TAC42E-HW,TRUE
GVS-TAC42E,"GigaVUE-TA400E node, 32 400G QSFP-DD cages & 2 1/10G SFP+ cages, 2 power supplies, 6 fan trays, DC power; 32 400G & 2 1/10G ports enabled."," $116,225.00 ",  ,,Taps and Aggregators,GigaVUE-TA400E,Taiwan,,,,,TRUE
GVS-TAC42E-HW,"GigaVUE-TA400E node, 32 400G QSFP-DD cages & 2 1/10G SFP+ cages, 2 power supplies, 6 fan trays, DC power; Hardware only. Must pair with appropriate GigaVUE-OS Software License."," $14,355.00 ",  ,,Taps and Aggregators,GigaVUE-TA400E,Taiwan,,,,,TRUE
GVS-TAC42EA,"GigaVUE-TA400E node, 32 400G QSFP-DD cages & 2 1/10G SFP+ cages, 2 power supplies, 6 fan trays, DC power; 32 100G & 2 1/10G ports enabled."," $63,695.00 ",  ,,Taps and Aggregators,GigaVUE-TA400E,Taiwan,,,,,TRUE
