EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,,,,
SKU,Detailed Description,List Price,List Price/Month,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),Cloud Marketplace,End of Sale,End of Life,EOS Replacement SKU,Support Available
SFP-501,"1G SFP, Copper, UTP with RJ45 interface. Not TAA Compliant.", $220.00 ,  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-501T,"1 Gig SFP, Copper, UTP with RJ45 interface. TAA compliant.", $330.00 ,  ,,Accessories,Transceivers,United States,,,,,FALSE
SFP-502,"1G SFP, Multimode SX. Not TAA Compliant.", $220.00 ,  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-502T,"1 Gig SFP, Multimode 850. TAA compliant.", $275.00 ,  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-503,"1G SFP, Singlemode LX. Not TAA Compliant.", $275.00 ,  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-503T,"1 Gig SFP, Singlemode 1310. TAA compliant.", $330.00 ,  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-505T,"100M SFP, Multimode FX. TAA Compliant", $355.00 ,  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-531,"10G SFP+, Copper 10GBASE-T, RJ45 interface. Not TAA Compliant.", $770.00 ,  ,,Accessories,Transceivers,China,,,,,FALSE
SFP-531T,"10G SFP+, Copper 10GBASE-T, RJ45 interface, TAA Compliant.", $990.00 ,  ,,Accessories,Transceivers,United States,,,,,FALSE
SFP-532,"10G SFP+, Multimode SR. Not TAA Compliant.", $880.00 ,  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-532-20P,"20 pack of 10Gb SFP+, Multimode SR. Not TAA Compliant."," $7,715.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-532T,"10 Gig SFP+, Multimode 850nm SR. TAA compliant.", $990.00 ,  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-532T-20P,"20 pack of 10Gb SFP+, Multimode SR. TAA Compliant."," $19,730.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-533,"10G SFP+, Singlemode LR. Not TAA Compliant."," $1,380.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
SFP-533-20P,"20 pack of 10Gb SFP+, Singlemode LR. Not TAA Compliant."," $13,225.00 ",  ,,Accessories,Transceivers,China,,,,,FALSE
SFP-533T,"10 Gig SFP+, Singlemode 1310nm LR. TAA compliant."," $1,600.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-533T-20P,"20 pack of 10Gb SFP+, Singlemode LR. TAA Compliant."," $31,860.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-534,"10G SFP+, Singlemode ER. Not TAA Compliant​."," $3,590.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-534T,"10G SFP+, Singlemode ER, TAA Compliant​."," $3,590.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-535,"10G SFP+, Multimode 1310nm LRM. Not TAA Compliant."," $1,380.00 ",  ,,Accessories,Transceivers,Malaysia,,,,,FALSE
SFP-552,"25G SFP28, Multimode SR. Not TAA Compliant.", $880.00 ,  ,,Accessories,Transceivers,China,,,,,FALSE
SFP-552T,"25G SFP28, Multimode SR. TAA Compliant.", $880.00 ,  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
SFP-553T,"25G SFP28, Singlemode LR. TAA Compliant."," $1,760.00 ",  ,,Accessories,Transceivers,Taiwan,,,,,FALSE
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
