EFFECTIVE DATE: 02 JANUARY 2026,,,,,,,,,
SKU,Detailed Description,Support Pricing Information,Product Family,Product Sub-Family,Country of Origin (COO),End of Sale,End of Life,EOS Replacement SKU,Support Available
PRT-HC3-X24,"Port Module, GigaVUE-HC3, 24x10G SFP+ cages",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
PRT-HC3-X24-HW,"Port Module, GigaVUE-HC3, 24x10G SFP+ cages.  Hardware only.  Must pair with appropriate GigaVUE-OS Software License.",,GigaVUE H Series,GigaVUE-HC3,Taiwan,,,,TRUE
PRT-HC3-X24-SW-TM,Monthly GigaVUE-OS term license for PRT-HC3-X24-HW. Includes Bundled Elite-Plus Software Support.,,GigaVUE H Series,GigaVUE-HC3,United States,,,,TRUE
SMT-HC1-AFI,Application Filtering Intelligence (1 Month ) GigaVUE-HC1 (12-month Minimum). Includes bundled Elite-Plus Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-AFS,Advanced Flow Slicing (1 Month ) GigaVUE-HC1 (12-month Minimum). Includes bundled Elite-Plus Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-AMI,Application Metadata Intelligence (1 Month) - GigaVUE-HC1 (12-Month Minimum). Includes bundled Elite-Plus Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-APF,"GigaSMART, GigaVUE-HC1 license, Adaptive Packet Filtering feature",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-BN-CORE,"CoreVUE GigaSMART software bundle for GigaVUE-HC1. Capabilities included: Advanced Tunneling, Header Stripping, Slicing, Masking, Advanced Load Balancing, Source Port Labeling. Includes bundled Elite-Plus Support",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-BN-NV,"NetVUE GigaSMART software bundle for GigaVUE-HC1. Capabilities included: All CoreVUE GigaSMART capabilities, De-duplication, NetFlow Generation. Includes bundled Elite-Plus Support.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-BN-NVP,"NetVUE Plus GigaSMART software bundle for GigaVUE-HC1. Capabilities included: All NetVUE GigaSMART capabilities, Application Filtering Intelligence, Adaptive Packet Filtering, Advanced Flow Slicing. Includes bundled Elite-Plus Support.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-BN-SV,"SecureVUE GigaSMART software bundle for GigaVUE-HC1. Capabilities included: All CoreVUE GigaSMART capabilities, De-duplication, NetFlow Generation, Adaptive Packet Filtering. Includes bundled Elite-Plus Support.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-BN-SVP,"SecureVUE Plus GigaSMART software bundle for GigaVUE-HC1. Capabilities included: All SecureVUE GigaSMART capabilities, SSL Decryption (Inline + Out-of-band), Application Filtering Intelligence, Application Metadata Intelligence. Includes bundled Elite-Plus Support.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-BSE,"GigaSMART, GigaVUE-HC1 license combo, includes Slicing, Masking, & Source Port Labeling.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-DD1,"GigaSMART, GigaVUE-HC1 license, De-Duplication feature",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-FVU,"GigaSMART, GigaVUE-HC1 license, FlowVUE feature license",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-AFI-SW-PL,"Perpetual license for GigaSMART, GigaVUE-HC1 license, Application Filtering Intelligence feature. Desired Software support program must be added. This is a GEN2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-AFI-SW-TM,Monthly subscription license for Application Filtering Intelligence (1 Month ) GigaVUE-HC1 (12-month Minimum). Includes bundled Elite-Plus Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-AFS-SW-PL,"Perpetual license for GigaSMART, GigaVUE-HC1 license, Advanced Flow Slicing. Desired Software support program must be added. This is a GEN2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-AFS-SW-TM,Monthly subscription license for Advanced Flow Slicing (1 Month ) GigaVUE-HC1 (12-month Minimum). Includes bundled Elite-Plus Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-AMI-SW-PL,"Perpetual license for GigaSMART, GigaVUE-HC1 license, Application Metadata Intelligence feature. Desired Software support program must be added. This is a GEN2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-AMI-SW-TM,Monthly subscription license for Application Metadata Intelligence (1 Month) GigaVUE-HC1 (12-Month Minimum). Includes bundled Elite-Plus Support.,,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-APF-SW-TM,"Monthly subscription license for  GigaSMART, GigaVUE-HC1 license, Adaptive Packet Filtering feature.   Includes embedded Elite-Plus Support.  Initial term must be 12 months or longer.  This is a Gen 2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-BN-ZTA-SW-TM,"Bundle of GigaSMART applications needed to enable pervasive visibility for  Zero Trust Environments. This includes NetFlow, Inline SSL Decrypt, AMI, AFI Header Stripping, APF and DeDupe. Includes bundled Elite-Plus Support.  Standard GigaSMART Operations Compatibility applies.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-BSE-SW-TM,"Monthly subscription license for GigaSMART, GigaVUE-HC1 license combo, includes Slicing, Masking & Source Port Labeling. Includes embedded Elite-Plus Support. Initial term must be 12 months or longer. This is a Gen 2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-DD1-SW-TM,"Monthly subscription license for  GigaSMART, GigaVUE-HC1 license, De-Duplication feature.   Includes embedded Elite-Plus Support.  Initial term must be 12 months or longer.  This is a Gen 2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-FVU-SW-TM,"Monthly subscription license for  GigaSMART, GigaVUE-HC1 license, FlowVUE feature license.   Includes embedded Elite-Plus Support.  Initial term must be 12 months or longer.  This is a Gen 2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
SMT-HC1-GEN2-HS1-SW-TM,"Monthly subscription license for  GigaSMART, GigaVUE-HC1 license, Header Stripping feature.   Includes embedded Elite-Plus Support.  Initial term must be 12 months or longer.  This is a Gen 2 license.",,GigaVUE H Series,GigaVUE-HC1,United States,,,,TRUE
